sampleName	isolationSource	collectionDate	geoLocName	latitude	longitude	amrResGenes	predictedSir	dangerZone	sampleAnalysisType	temperature	ph	tds	dissolvedO2	ec	isolateId	organism	collectedBy	sequenceName	coverage
APR-002	River Water	2024-01-01	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	28.70	6.05	525	4.57	813	ISO-2026-0-0	Klebsiella pneumoniae	Automated Script	Contig_0	98.8
APR-003	River Water	2024-01-01	Pretoria CBD	-25.746	28.201	qnrS1, strA	Intermediate	yellow	16S rRNA	28.34	7.11	440	4.67	681	ISO-2026-0-1	E. coli	Automated Script	Contig_0	94.4
APR-004	River Water	2024-01-01	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	27.77	6.12	549	4.94	851	ISO-2026-0-2	Enterococcus faecalis	Automated Script	Contig_0	95.1
APR-005	River Water	2024-01-01	Wonderboom - Apies River	-25.69	28.187	qnrS1, strA	Intermediate	yellow	16S rRNA	28.00	6.42	785	5.34	1217	ISO-2026-0-3	E. coli	Automated Script	Contig_0	92.5
APR-006	River Water	2024-01-01	Pretoria North - Apies River	-25.67	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	27.50	7.09	361	4.95	559	ISO-2026-0-4	E. coli	Automated Script	Contig_0	100.0
APR-002	River Water	2024-01-08	Groenkloof - Apies River	-25.78	28.1957	acrB, tolC	Susceptible	green	16S rRNA	27.44	6.20	512	5.24	794	ISO-2026-1-0	Enterococcus faecalis	Automated Script	Contig_1	93.3
APR-003	River Water	2024-01-08	Pretoria CBD	-25.746	28.201	blaNDM-1, mcr-1	Resistant	red	16S rRNA	27.46	7.01	416	5.28	644	ISO-2026-1-1	Enterococcus faecalis	Automated Script	Contig_1	91.6
APR-004	River Water	2024-01-08	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	28.05	6.06	590	4.86	914	ISO-2026-1-2	Enterococcus faecalis	Automated Script	Contig_1	99.7
APR-005	River Water	2024-01-08	Wonderboom - Apies River	-25.69	28.187	qnrS1, strA	Intermediate	yellow	16S rRNA	27.71	6.61	429	4.94	665	ISO-2026-1-3	Pseudomonas aeruginosa	Automated Script	Contig_1	90.3
APR-006	River Water	2024-01-08	Pretoria North - Apies River	-25.67	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	27.31	7.12	365	5.32	566	ISO-2026-1-4	Pseudomonas aeruginosa	Automated Script	Contig_1	90.2
APR-002	River Water	2024-01-15	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	28.50	6.10	527	4.76	817	ISO-2026-2-0	Enterococcus faecalis	Automated Script	Contig_2	86.1
APR-003	River Water	2024-01-15	Pretoria CBD	-25.746	28.201	ampC_intrinsic	Susceptible	green	16S rRNA	27.24	6.94	432	4.97	670	ISO-2026-2-1	Pseudomonas aeruginosa	Automated Script	Contig_2	91.8
APR-004	River Water	2024-01-15	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	27.35	6.34	581	5.44	900	ISO-2026-2-2	Enterococcus faecalis	Automated Script	Contig_2	90.2
APR-005	River Water	2024-01-15	Wonderboom - Apies River	-25.69	28.187	acrB, tolC	Susceptible	green	16S rRNA	28.58	6.60	436	5.21	675	ISO-2026-2-3	Enterococcus faecalis	Automated Script	Contig_2	93.8
APR-006	River Water	2024-01-15	Pretoria North - Apies River	-25.67	28.187	qnrS1, strA	Intermediate	yellow	16S rRNA	27.67	7.11	351	5.06	544	ISO-2026-2-4	Klebsiella pneumoniae	Automated Script	Contig_2	87.8
APR-002	River Water	2024-01-22	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	27.99	5.92	533	5.03	827	ISO-2026-3-0	Pseudomonas aeruginosa	Automated Script	Contig_3	89.1
APR-003	River Water	2024-01-22	Pretoria CBD	-25.746	28.201	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	27.91	7.08	873	4.84	1353	ISO-2026-3-1	Klebsiella pneumoniae	Automated Script	Contig_3	92.0
APR-004	River Water	2024-01-22	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	27.06	6.28	560	4.79	868	ISO-2026-3-2	Pseudomonas aeruginosa	Automated Script	Contig_3	88.1
APR-005	River Water	2024-01-22	Wonderboom - Apies River	-25.69	28.187	vanA, mecA	Resistant	red	16S rRNA	27.03	6.75	453	4.89	702	ISO-2026-3-3	Pseudomonas aeruginosa	Automated Script	Contig_3	97.6
APR-006	River Water	2024-01-22	Pretoria North - Apies River	-25.67	28.187	qnrS1, strA	Intermediate	yellow	16S rRNA	28.38	7.10	377	4.86	585	ISO-2026-3-4	Enterococcus faecalis	Automated Script	Contig_3	90.4
APR-002	River Water	2024-01-29	Groenkloof - Apies River	-25.78	28.1957	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	27.74	6.04	549	5.33	851	ISO-2026-4-0	Klebsiella pneumoniae	Automated Script	Contig_4	93.2
APR-003	River Water	2024-01-29	Pretoria CBD	-25.746	28.201	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	27.64	7.11	430	5.34	666	ISO-2026-4-1	Klebsiella pneumoniae	Automated Script	Contig_4	97.4
APR-004	River Water	2024-01-29	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	26.53	6.20	547	5.68	848	ISO-2026-4-2	E. coli	Automated Script	Contig_4	96.0
APR-005	River Water	2024-01-29	Wonderboom - Apies River	-25.69	28.187	vanA, mecA	Resistant	red	16S rRNA	27.00	6.71	449	5.70	695	ISO-2026-4-3	Enterococcus faecalis	Automated Script	Contig_4	89.3
APR-006	River Water	2024-01-29	Pretoria North - Apies River	-25.67	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	26.77	7.24	365	5.80	566	ISO-2026-4-4	Klebsiella pneumoniae	Automated Script	Contig_4	95.1
APR-002	River Water	2024-02-05	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	27.46	6.03	1301	4.76	2016	ISO-2026-5-0	E. coli	Automated Script	Contig_5	98.6
APR-003	River Water	2024-02-05	Pretoria CBD	-25.746	28.201	vanA, mecA	Resistant	red	16S rRNA	27.09	7.03	411	5.35	637	ISO-2026-5-1	Klebsiella pneumoniae	Automated Script	Contig_5	87.4
APR-004	River Water	2024-02-05	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	27.88	6.28	551	5.33	855	ISO-2026-5-2	E. coli	Automated Script	Contig_5	88.9
APR-005	River Water	2024-02-05	Wonderboom - Apies River	-25.69	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	27.44	6.63	428	5.29	663	ISO-2026-5-3	Klebsiella pneumoniae	Automated Script	Contig_5	89.1
APR-006	River Water	2024-02-05	Pretoria North - Apies River	-25.67	28.187	vanA, mecA	Resistant	red	16S rRNA	27.28	7.06	349	4.94	541	ISO-2026-5-4	Enterococcus faecalis	Automated Script	Contig_5	88.4
APR-002	River Water	2024-02-12	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	27.17	5.98	542	4.77	840	ISO-2026-6-0	Enterococcus faecalis	Automated Script	Contig_6	96.3
APR-003	River Water	2024-02-12	Pretoria CBD	-25.746	28.201	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	26.89	6.84	405	5.04	628	ISO-2026-6-1	Pseudomonas aeruginosa	Automated Script	Contig_6	99.0
APR-004	River Water	2024-02-12	Pretoria Zoo - Apies River	-25.735	28.188	qnrS1, strA	Intermediate	yellow	16S rRNA	26.80	6.16	600	5.17	930	ISO-2026-6-2	Pseudomonas aeruginosa	Automated Script	Contig_6	98.5
APR-005	River Water	2024-02-12	Wonderboom - Apies River	-25.69	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	27.16	6.71	458	5.42	711	ISO-2026-6-3	E. coli	Automated Script	Contig_6	93.4
APR-006	River Water	2024-02-12	Pretoria North - Apies River	-25.67	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	26.51	7.27	626	5.49	970	ISO-2026-6-4	Enterococcus faecalis	Automated Script	Contig_6	86.5
APR-002	River Water	2024-02-19	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	25.19	6.21	543	5.60	842	ISO-2026-7-0	E. coli	Automated Script	Contig_7	85.4
APR-003	River Water	2024-02-19	Pretoria CBD	-25.746	28.201	acrB, tolC	Susceptible	green	16S rRNA	26.37	6.96	436	5.09	676	ISO-2026-7-1	E. coli	Automated Script	Contig_7	99.5
APR-004	River Water	2024-02-19	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	26.57	6.02	594	5.43	921	ISO-2026-7-2	Enterococcus faecalis	Automated Script	Contig_7	100.0
APR-005	River Water	2024-02-19	Wonderboom - Apies River	-25.69	28.187	acrB, tolC	Susceptible	green	16S rRNA	25.04	6.75	437	6.07	677	ISO-2026-7-3	Klebsiella pneumoniae	Automated Script	Contig_7	96.1
APR-006	River Water	2024-02-19	Pretoria North - Apies River	-25.67	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	25.12	7.39	617	5.43	957	ISO-2026-7-4	Klebsiella pneumoniae	Automated Script	Contig_7	96.2
APR-002	River Water	2024-02-26	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	25.99	6.10	1288	5.93	1996	ISO-2026-8-0	E. coli	Automated Script	Contig_8	91.6
APR-003	River Water	2024-02-26	Pretoria CBD	-25.746	28.201	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	26.34	7.19	427	5.79	661	ISO-2026-8-1	E. coli	Automated Script	Contig_8	92.7
APR-004	River Water	2024-02-26	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	25.01	6.10	584	5.52	905	ISO-2026-8-2	Pseudomonas aeruginosa	Automated Script	Contig_8	96.3
APR-005	River Water	2024-02-26	Wonderboom - Apies River	-25.69	28.187	vanA, mecA	Resistant	red	16S rRNA	25.18	6.61	447	5.31	693	ISO-2026-8-3	Pseudomonas aeruginosa	Automated Script	Contig_8	95.8
APR-006	River Water	2024-02-26	Pretoria North - Apies River	-25.67	28.187	acrB, tolC	Susceptible	green	16S rRNA	26.10	7.11	359	5.86	556	ISO-2026-8-4	Pseudomonas aeruginosa	Automated Script	Contig_8	88.2
APR-002	River Water	2024-03-04	Groenkloof - Apies River	-25.78	28.1957	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	24.03	5.94	549	6.22	851	ISO-2026-9-0	E. coli	Automated Script	Contig_9	92.2
APR-003	River Water	2024-03-04	Pretoria CBD	-25.746	28.201	ampC_intrinsic	Susceptible	green	16S rRNA	24.33	7.07	830	6.12	1286	ISO-2026-9-1	Klebsiella pneumoniae	Automated Script	Contig_9	88.5
APR-004	River Water	2024-03-04	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	25.54	6.03	589	5.29	912	ISO-2026-9-2	Enterococcus faecalis	Automated Script	Contig_9	97.0
APR-005	River Water	2024-03-04	Wonderboom - Apies River	-25.69	28.187	qnrS1, strA	Intermediate	yellow	16S rRNA	25.61	6.68	459	5.99	711	ISO-2026-9-3	Klebsiella pneumoniae	Automated Script	Contig_9	92.8
APR-006	River Water	2024-03-04	Pretoria North - Apies River	-25.67	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	24.93	7.30	369	5.77	573	ISO-2026-9-4	Pseudomonas aeruginosa	Automated Script	Contig_9	92.2
APR-002	River Water	2024-03-11	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	23.84	6.24	547	6.12	848	ISO-2026-10-0	Pseudomonas aeruginosa	Automated Script	Contig_10	98.2
APR-003	River Water	2024-03-11	Pretoria CBD	-25.746	28.201	acrB, tolC	Susceptible	green	16S rRNA	23.50	7.10	411	6.61	637	ISO-2026-10-1	Enterococcus faecalis	Automated Script	Contig_10	87.1
APR-004	River Water	2024-03-11	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	24.72	6.11	589	5.69	913	ISO-2026-10-2	E. coli	Automated Script	Contig_10	92.2
APR-005	River Water	2024-03-11	Wonderboom - Apies River	-25.69	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	23.44	6.66	433	5.86	672	ISO-2026-10-3	E. coli	Automated Script	Contig_10	89.8
APR-006	River Water	2024-03-11	Pretoria North - Apies River	-25.67	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	25.07	7.28	786	5.63	1219	ISO-2026-10-4	Pseudomonas aeruginosa	Automated Script	Contig_10	89.6
APR-002	River Water	2024-03-18	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	23.61	5.91	530	6.34	822	ISO-2026-11-0	Pseudomonas aeruginosa	Automated Script	Contig_11	87.5
APR-003	River Water	2024-03-18	Pretoria CBD	-25.746	28.201	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	24.15	7.16	427	6.03	662	ISO-2026-11-1	Enterococcus faecalis	Automated Script	Contig_11	90.0
APR-004	River Water	2024-03-18	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	24.04	6.15	1229	5.57	1906	ISO-2026-11-2	Enterococcus faecalis	Automated Script	Contig_11	99.5
APR-005	River Water	2024-03-18	Wonderboom - Apies River	-25.69	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	22.45	6.66	469	6.81	726	ISO-2026-11-3	Pseudomonas aeruginosa	Automated Script	Contig_11	91.7
APR-006	River Water	2024-03-18	Pretoria North - Apies River	-25.67	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	24.12	7.07	363	6.07	563	ISO-2026-11-4	Enterococcus faecalis	Automated Script	Contig_11	87.4
APR-002	River Water	2024-03-25	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	23.42	6.14	509	6.62	788	ISO-2026-12-0	Klebsiella pneumoniae	Automated Script	Contig_12	96.4
